               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067689,            0.023636,            0.019632,              0.5238,              0.5474,             0.51611,             0.24669,             0.04001,           0.0097367,            0.018597,            0.003328,            0.003328,            0.070048
                   1,            0.049443,            0.018202,           0.0084712,             0.60851,             0.54092,             0.52476,             0.26693,            0.039258,           0.0095311,            0.018809,           0.0066357,           0.0066357,            0.040022
                   2,            0.047242,            0.018073,           0.0073162,             0.49239,             0.51772,             0.45459,             0.24683,             0.03873,           0.0097527,            0.022378,           0.0098414,           0.0098414,           0.0098947
                   3,            0.045576,            0.019033,            0.008253,             0.78809,             0.50714,             0.57983,             0.23861,            0.039681,           0.0096662,            0.014251,           0.0096575,           0.0096575,           0.0096575
                   4,             0.04375,            0.018937,           0.0074772,             0.65523,             0.52989,             0.53315,             0.23171,            0.033754,           0.0093953,            0.016001,           0.0096575,           0.0096575,           0.0096575
                   5,            0.040416,            0.017686,           0.0059118,             0.79049,             0.59786,             0.63644,             0.42492,            0.036314,           0.0090522,            0.015005,           0.0093971,           0.0093971,           0.0093971
                   6,            0.038417,            0.017003,           0.0050991,             0.78842,             0.63477,             0.66148,             0.40411,            0.032115,           0.0089052,            0.016479,           0.0090701,           0.0090701,           0.0090701
                   7,            0.036651,            0.016398,           0.0044147,             0.86263,             0.58055,             0.63575,             0.42507,            0.030502,           0.0085505,            0.020065,            0.008682,            0.008682,            0.008682
                   8,            0.034768,            0.015828,            0.003987,             0.89228,             0.65044,             0.72662,             0.44047,            0.028381,           0.0082748,            0.017679,           0.0082394,           0.0082394,           0.0082394
                   9,            0.033668,            0.015342,            0.003065,             0.88982,             0.67245,             0.71459,             0.49128,            0.029161,           0.0082562,            0.019615,             0.00775,             0.00775,             0.00775
                  10,            0.032884,            0.014986,           0.0030876,             0.92283,             0.64592,             0.70814,             0.48469,            0.029471,           0.0082242,            0.016498,           0.0072221,           0.0072221,           0.0072221
                  11,            0.031653,            0.014471,           0.0026324,             0.90816,             0.65606,             0.70394,             0.50115,            0.030266,           0.0080077,            0.018831,           0.0066647,           0.0066647,           0.0066647
                  12,            0.030513,              0.0143,           0.0027294,             0.93195,             0.65903,             0.71162,              0.4956,            0.029816,           0.0078435,            0.019173,           0.0060874,           0.0060874,           0.0060874
                  13,            0.029498,            0.013631,           0.0022819,             0.93017,             0.63925,             0.71607,             0.52474,            0.030078,           0.0081862,            0.013444,              0.0055,              0.0055,              0.0055
                  14,            0.028615,            0.013448,           0.0022044,             0.93639,             0.67599,             0.73492,             0.54149,            0.027763,           0.0077006,            0.016366,           0.0049126,           0.0049126,           0.0049126
                  15,            0.027675,            0.013157,           0.0019125,             0.94755,             0.71163,             0.75828,             0.57352,            0.026651,           0.0078123,             0.01601,           0.0043353,           0.0043353,           0.0043353
                  16,            0.027371,            0.013041,           0.0022376,             0.92203,             0.70308,             0.76507,             0.55682,            0.027033,           0.0077264,            0.015509,           0.0037779,           0.0037779,           0.0037779
                  17,            0.026195,             0.01274,           0.0016724,             0.93814,             0.71324,             0.76519,             0.53639,            0.027389,           0.0074343,             0.01879,             0.00325,             0.00325,             0.00325
                  18,            0.025614,            0.012377,           0.0018122,             0.91823,             0.72671,             0.79041,             0.58325,            0.026419,           0.0073688,            0.010703,           0.0027606,           0.0027606,           0.0027606
                  19,            0.024815,            0.012237,            0.001319,              0.9379,             0.72901,             0.78293,              0.6023,            0.025255,           0.0072945,            0.012321,            0.002318,            0.002318,            0.002318
                  20,            0.024349,            0.011872,           0.0014751,             0.94276,             0.72191,             0.77138,              0.5929,            0.027187,           0.0072484,            0.018252,           0.0019299,           0.0019299,           0.0019299
                  21,            0.023377,            0.011501,           0.0012932,             0.95333,             0.71646,             0.78653,             0.59176,            0.025694,           0.0072067,            0.012798,           0.0016029,           0.0016029,           0.0016029
                  22,            0.023302,              0.0115,           0.0014551,             0.94326,             0.72776,             0.78578,              0.5953,             0.02594,           0.0071256,             0.01341,           0.0013425,           0.0013425,           0.0013425
                  23,            0.022817,            0.011337,           0.0013044,             0.94451,             0.72904,             0.78196,             0.58736,            0.025558,           0.0070288,            0.017862,           0.0011533,           0.0011533,           0.0011533
